CPU Info Monitor - Nhấn Ctrl+C để thoát
CPU  TEMP     LOAD     PSI      FREQ     IPC      L3 UTIL  CLOAK   
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
0    0.00     0.00     0.00     0        0.000    0        OFF     
